keyId,itemId1,itemId2,itemId3,itemId4,itemId5
MH09,MH09-L-Blue,MH09-M-Red,MH09-S-Green,MH09-XL-Blue,MH09-XS-Red
MH09-L-Blue,MH09,MH09-L-Green,MH09-L-Red,MH09-M-Blue,MH09-XL-Blue
MH09-L-Green,MH09,MH09-L-Blue,MH09-L-Red,MH09-M-Green,MH09-XL-Green
MH09-L-Red,MH09,MH09-L-Blue,MH09-L-Green,MH09-M-Red,MH09-XL-Red
MH09-M-Blue,MH09,MH09-M-Green,MH09-M-Red,MH09-L-Blue,MH09-S-Blue
MH09-M-Green,MH09,MH09-M-Blue,MH09-M-Red,MH09-L-Green,MH09-S-Green
MH09-M-Red,MH09,MH09-M-Blue,MH09-M-Green,MH09-L-Red,MH09-S-Red
MH09-S-Blue,MH09,MH09-S-Green,MH09-S-Red,MH09-M-Blue,MH09-XS-Blue
MH09-S-Green,MH09,MH09-S-Blue,MH09-S-Red,MH09-M-Green,MH09-XS-Green
MH09-S-Red,MH09,MH09-S-Blue,MH09-S-Green,MH09-M-Red,MH09-XS-Red
MH09-XL-Blue,MH09,MH09-XL-Green,MH09-XL-Red,MH09-L-Blue,MH09-M-Blue
MH09-XL-Green,MH09,MH09-XL-Blue,MH09-XL-Red,MH09-L-Green,MH09-M-Green
MH09-XL-Red,MH09,MH09-XL-Blue,MH09-XL-Green,MH09-L-Red,MH09-M-Red
MH09-XS-Blue,MH09,MH09-XS-Green,MH09-XS-Red,MH09-S-Blue,MH09-M-Blue
MH09-XS-Green,MH09,MH09-XS-Blue,MH09-XS-Red,MH09-S-Green,MH09-M-Green
MH09-XS-Red,MH09,MH09-XS-Blue,MH09-XS-Green,MH09-S-Red,MH09-M-Red
